Season,Name,Position,Team,Birth.Date,GP,EVG,EVA1,EVA2,EVPTS,EVGF.PERC,TEAM.EVGF.PERC,EVGF.PERC.REL,PRIMARY.EVPTS,TEAM.PRIMARY.EVPTS,PERC.TEAM.EVPrPTS,IPP.EV,IPPP.EV,Draft.Eligible
2017 - 18 Regular Season,Kevin Davis,D,Everett Silvertips,1997-03-14,71,7,10,9,26,0.64,0.57,0.07,17,306,0.06,0.39,0.26,NO
2017 - 18 Regular Season,Keoni Texeira,D,Portland Winterhawks,1997-03-24,64,6,5,7,18,0.5,0.57,-0.07,11,345,0.03,0.39,0.24,NO
2017 - 18 Regular Season,Glenn Gawdin,F,Swift Current Broncos,1997-03-25,67,28,20,16,64,0.68,0.56,0.12,48,336,0.14,0.68,0.51,NO
2017 - 18 Regular Season,Nick Chyzowski,F,Kamloops Blazers,1997-06-03,72,9,12,7,28,0.45,0.49,-0.04,21,272,0.08,0.62,0.47,NO
2017 - 18 Regular Season,Jayden Halbgewachs,F,Moose Jaw Warriors,1997-03-22,72,36,32,14,82,0.62,0.61,0.01,68,446,0.15,0.79,0.65,NO
2017 - 18 Regular Season,Aaron Boyd,F,Prince George Cougars,1997-05-24,67,12,12,8,32,0.49,0.43,0.06,24,294,0.08,0.71,0.53,NO
2017 - 18 Regular Season,Brad Morrison,F,Lethbridge Hurricanes,1997-01-04,74,16,18,12,46,0.52,0.49,0.03,34,311,0.11,0.81,0.6,NO
2017 - 18 Regular Season,Tate Olson,D,Lethbridge Hurricanes,1997-03-21,54,1,7,6,14,0.46,0.49,-0.03,8,311,0.03,0.33,0.19,NO
2017 - 18 Regular Season,Tyler Soy,F,Victoria Royals,1997-02-10,66,20,20,9,49,0.6,0.53,0.07,40,351,0.11,0.73,0.6,NO
2017 - 18 Regular Season,Austin Strand,D,Seattle Thunderbirds,1997-02-17,69,11,11,12,34,0.52,0.5,0.02,22,329,0.07,0.44,0.29,NO
2017 - 18 Regular Season,Brayden Burke,F,Moose Jaw Warriors,1997-01-01,61,22,28,15,65,0.68,0.61,0.07,50,446,0.11,0.83,0.64,NO
2017 - 18 Regular Season,Grayson Pawlenchuk,F,Red Deer Rebels,1997-03-22,72,14,10,5,29,0.52,0.45,0.07,24,253,0.09,0.57,0.47,NO
2017 - 18 Regular Season,Matt Bradley,F,Regina Pats,1997-01-22,72,25,17,5,47,0.54,0.52,0.02,42,290,0.14,0.77,0.69,NO
2017 - 18 Regular Season,Giorgio Estephan,F,Lethbridge Hurricanes,1997-02-03,69,13,14,17,44,0.51,0.49,0.02,27,311,0.09,0.79,0.48,NO
2017 - 18 Regular Season,Matteo Gennaro,F,Calgary Hitmen,1997-03-30,67,23,19,6,48,0.56,0.45,0.11,42,287,0.15,0.84,0.74,NO
2017 - 18 Regular Season,Brady Reagan,D,Calgary Hitmen,1997-08-14,66,2,5,2,9,0.46,0.45,0.01,7,287,0.02,0.24,0.18,NO
2017 - 18 Regular Season,Jakob Stukel,F,Calgary Hitmen,1997-03-06,71,28,13,4,45,0.53,0.45,0.08,41,287,0.14,0.76,0.69,NO
2017 - 18 Regular Season,Braylon Shmyr,F,Saskatoon Blades,1997-05-16,72,24,23,7,54,0.52,0.47,0.05,47,316,0.15,0.72,0.63,NO
2017 - 18 Regular Season,Regan Nagy,F,Prince Albert Raiders,1997-05-11,57,18,7,5,30,0.55,0.5,0.05,25,347,0.07,0.61,0.51,NO
2017 - 18 Regular Season,Alec Baer,F,Kootenay ICE,1997-08-25,72,22,11,5,38,0.47,0.43,0.04,33,279,0.12,0.73,0.63,NO
